"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
40,"New Jersey",11,140300,139900,139700,139600,139300,139200,139100,139100,139100,139400,139900,140400,140700,141000,141300,141400,141400,141600,141900,142400,142900,143700,144800,145600,146200,146600,146800,146800,146900,147100,147700,148300,148900,149800,150900,152000,152900,153600,154600,155800,157100,158300,159300,160400,161700,163100,164400,165800,167100,168500,170000,171500,173000,174500,176000,177500,179200,180900,182500,184000,185800,187800,189700,191400,193500,195900,198300,200400,202600,204800,207200,209900,212900,215800,218800,222200,225900,229300,232500,235700,238900,242200,245300,248400,251100,253900,256900,259900,262900,265700,268400,271200,274100,276900,279600,282400,285500,288900,292700,296600,300500,304400,308400,312600,316700,320300,324000,327800,331800,335700,339700,343400,346600,349500,352700,355900,358500,360300,362000,363800,365600,367000,367600,367700,367500,367300,366800,365800,364600,363900,363400,363000,362500,362000,360900,359300,357500,355800,354200,352900,351400,349700,347800,345700,343200,340300,337300,334400,331700,329200,326500,323300,320800,319700,318700,316500,314100,311600,309100,307100,305500,304300,303300,302500,301400,299800,298300,297300,295900,294600,293600,292800,291200,289300,287600,286300,284800,283200,281700,280000,278100,276500,275100,273700,272200,270400,268700,267000,265400,264100,263200,262400,262200,262600,262800,262900,263400,263900,264100,264500,265300,265800,266100,266600,267200,267700,268400,269500,270500,271800,272900,273700,274200,274700,275300,275900,276800,277800,278700,279200,279700,280000,279800,279500,279800,280300,280500,280500,281000,281900,282700,283600,284400,285000,285500,286000,286500,286900,287700,288800,290000,290700,291300,292300,293500,294900,296900,299200,300800
56,"Virginia",12,111600,112200,112600,112800,112900,112700,112800,113100,113300,113500,114000,114400,114300,114300,114500,114500,114600,114900,115200,115600,115800,116200,116800,117200,117300,117500,117600,117600,117600,118000,118400,118600,119000,119600,120100,120500,120800,121300,121900,122400,122800,123300,123900,124500,125100,125900,126800,127800,128400,129000,129600,130300,131000,131700,132300,132900,133700,134700,135600,136500,137700,138700,139600,140700,141700,142500,143200,144200,145300,146400,147400,148500,149700,150900,152000,153300,154600,155900,157100,158300,159700,161100,162600,163900,165200,166500,168000,169700,171400,173200,175100,177100,179300,181600,184000,186400,189000,191900,195200,198600,202100,206200,210500,214500,218100,221700,225600,229500,233300,237100,240900,244800,248500,251800,254700,257700,259600,260600,261600,262800,264100,265100,265800,266400,266800,266700,266500,266500,266400,266500,266800,267200,267200,267200,266800,266000,264800,263900,263000,261900,260300,258500,256500,254500,252300,250000,247600,245200,243100,241000,238800,236500,234500,233000,231700,230300,228900,227500,226100,224800,223900,223000,222100,221200,221300,221900,221900,221200,220800,220100,219100,218200,217400,216600,215900,215400,214800,214100,213100,212100,211500,211300,211200,211000,210600,210200,209700,209500,209400,209300,209300,209500,209600,209600,210000,210800,211200,211400,211900,212600,212900,213100,213700,214700,215700,216800,217900,219100,220000,220600,221000,221500,222000,222400,222900,223300,223800,224400,224900,225200,225500,225900,226700,227400,227300,227600,228300,228900,229000,229300,229800,230100,230700,231300,231700,231900,232300,232700,232700,233000,233700,234300,234700,235200,236000,237200,238300,239500,240600
59,"Washington",13,134400,134800,135100,135100,135200,135400,135900,136300,136800,137600,138500,139100,139700,140400,141300,142100,142900,143600,144300,145000,145900,146700,147500,148000,148600,149200,149900,150900,152000,152700,153000,153600,154600,155600,156500,157000,157500,158200,158900,159500,159900,160700,161700,162700,163500,164300,165200,166300,167300,167900,168500,169100,169900,170500,171000,171300,171800,172400,173300,174200,175100,175800,176300,176900,177500,178100,178900,179700,180200,180800,181800,182600,183000,183400,183900,184500,185000,185600,186400,187500,188700,189800,190600,191400,192300,193100,194000,194800,195800,196800,198000,199200,200600,202000,203400,205100,206800,208900,211300,213700,215900,218200,220600,222900,225300,227900,230600,233500,236900,240600,244300,248100,252200,256200,260100,263800,267300,270500,273400,276200,279400,282400,285300,287900,290200,292100,294200,296200,297700,298800,300100,301100,301700,302100,302600,302700,302700,302500,301800,300700,299200,297500,295700,294000,292300,290400,288100,286000,284400,282800,280200,277000,274400,272900,271400,268800,265800,263100,260600,258500,256600,255100,254000,253100,252300,251700,251000,250100,249200,248000,246200,244300,242100,239900,238000,236200,234500,232500,230600,229300,227900,226400,225000,224000,222800,221400,220000,219500,219600,219200,218500,218500,218800,219100,219800,220600,221300,222300,224000,225500,227000,228600,230000,231300,233000,235100,237400,239600,241400,242900,244200,245200,246200,247100,248000,248800,249600,250700,252000,253500,255100,256800,258300,260000,261300,262300,263700,266100,268600,271100,273700,276000,278100,280200,282200,284300,286500,289000,292400,296000,299300,302200,304500,306200,308300,311000,314100,316500,318000
26,"Massachusetts",14,137300,137700,138000,138200,138500,138900,139300,139800,140600,141500,142500,143300,144000,144500,145200,145900,146200,146600,147100,147900,149000,150300,151600,152500,153500,154500,155400,156400,157700,158800,159900,161000,162100,163300,164900,166700,168400,170200,172100,173900,175700,177500,179500,181600,183600,185800,188100,190400,192900,195700,198800,201800,204800,207600,210600,213700,216500,219400,222400,225600,228600,231500,234300,237200,240200,243400,246100,248600,251000,253200,255500,258000,260600,263200,266000,269100,272400,275900,279100,282400,286000,289500,292300,294800,297100,299100,301100,303200,305300,307200,309300,311400,313200,315100,317600,320100,322800,325700,328600,331300,333900,336300,338700,341100,343400,345700,348300,350700,352800,354300,355500,356200,356700,357100,357400,357600,357200,356300,355300,354800,354000,352700,350700,348800,346700,344800,342900,341500,339800,338300,337800,337700,336900,335600,334000,332600,331600,330600,329500,328300,326800,324900,322300,319100,315800,313300,311100,309500,308100,306700,305000,303000,300600,298500,296900,295200,293600,292600,292400,292500,292800,293300,293700,293500,295400,298500,299600,299000,299600,300100,300400,299700,298000,296200,294800,293600,292600,291300,290600,290700,290700,290100,289500,288900,288100,287200,286500,286000,285500,285000,284300,283900,284500,285400,285700,285900,286100,286600,287400,288800,289900,290700,292200,294600,297300,299900,302500,304800,306900,308600,310000,311400,312400,313300,314400,314900,314800,315600,316600,317400,318800,320400,321900,323300,324800,326000,327400,328900,330000,330600,331600,333200,335100,336700,338300,339900,341500,343100,344700,346000,347400,348900,350700,352600,354500,357000,359600,362000,364100
22,"Indiana",15,72100,74200,75200,75400,75200,75200,75400,75600,75700,76300,77500,78500,78500,78400,78700,79300,80000,80800,81500,82300,83000,83400,83500,83600,83600,83700,83900,84200,84500,84800,85100,85500,85600,85300,85500,85900,86100,86400,86800,87300,87400,87400,87600,88000,88000,87900,88400,88900,89100,89400,89800,90000,90300,90600,90800,90900,92600,95700,97700,98500,99400,100000,100500,100900,101500,101900,102000,102100,102200,102200,102200,102300,102200,101900,101800,101900,102000,102000,101800,101700,101400,101400,101500,101500,101600,102000,102200,102400,103000,103800,104900,105800,106600,107200,107800,108500,109100,109700,110600,111600,112800,113900,114700,115200,115600,116000,116600,116900,117400,118000,118800,119500,119700,119600,119400,119600,119500,118900,118000,117800,117600,117300,117100,116900,116600,116700,117200,117800,117800,117000,116600,117000,117400,117400,117200,117100,117200,117000,116700,116700,116900,117300,117600,117800,118100,118100,118100,117900,117300,116600,116000,115400,114800,114300,113900,113500,112800,112100,111500,111000,110800,110800,110800,110600,110900,112000,112600,112300,112200,112500,112900,112800,112500,112600,112700,112500,112300,112100,111600,111200,110700,110500,110300,110000,109800,109600,109400,109300,108600,108100,108100,108300,108300,108400,108100,108200,108600,109100,109200,109400,109800,110100,110200,110400,110800,110800,110800,111200,111700,111700,111700,111600,111500,111400,111400,111800,112300,112600,113000,113400,113600,113800,114000,114200,114500,114900,115400,115800,116200,116700,117300,117400,117300,117500,117600,117800,117700,117200,116800,116800,116900,116900,117100,117300,117600,117700,118100,118600,118900
8,"Arizona",16,103600,103900,104100,104400,104600,104900,105100,105400,105700,106300,106900,107200,107400,107600,108000,108300,108700,109300,109700,110000,110400,111100,111900,112300,112600,113000,113800,114500,114800,114900,115300,115800,116200,116600,116800,117300,118000,118400,118600,118800,119300,119900,120400,121100,122000,122900,124000,125100,125900,126600,127200,127600,128300,129000,129500,129900,130500,131100,131600,132200,132600,132800,133000,133300,133500,133600,134100,134900,135600,136200,136900,137500,138300,139100,139700,140300,141100,141800,142500,143300,144100,145000,145900,146700,147400,148200,149100,149900,150600,151400,152100,153000,154100,155200,156300,157700,158900,160200,162000,164200,166900,170400,174300,178200,182400,186800,191400,196900,203700,211300,219400,227500,234900,241100,246600,251300,254800,257300,259500,261000,261600,261800,261700,261200,260500,259600,258500,257500,256300,255100,253800,252400,251000,249500,247300,245200,243400,241900,239900,237500,234500,231100,227300,223500,219700,216200,212800,209400,206100,203000,199900,196300,194300,194100,193400,191000,188500,185600,182200,179000,176200,173500,170900,168600,165500,162000,159500,158500,157400,156300,155300,153900,151900,149600,147900,146700,145300,143800,142500,141500,139900,138000,136100,134600,133800,133500,133500,133900,134800,136000,137300,138600,140400,142700,145400,148200,150700,152800,154300,156000,157500,159100,160800,162700,164700,166700,169200,171800,174100,176100,177900,179500,181000,182300,182800,182800,183200,183800,184000,184000,184400,185200,186200,187200,188300,189200,190000,190800,191800,192600,193500,194600,196200,197900,199300,200700,202100,203200,204400,205500,206500,207400,209000,210500,211600,212800,214500,216200,217600
53,"Tennessee",17,70300,70700,71000,71400,71600,72000,72100,72400,72700,73100,73600,74100,74400,74700,75100,75500,75900,76200,76700,77300,77800,78400,78900,79400,79800,80400,80800,81200,81600,82100,82600,82900,83100,83400,84000,84200,84200,84400,84600,84700,84900,85100,85300,85300,85500,85800,86200,86700,86900,87200,87500,87800,87900,88100,88300,88600,88900,89200,89500,89800,90200,90400,90500,90700,90800,90800,91000,91200,91400,91500,91700,91900,92100,92300,92400,92700,93100,93300,93400,93800,94300,94500,94800,95200,95700,95900,96200,96600,97100,97500,97900,98100,98500,98800,99200,99400,99600,100000,100600,101000,101400,102000,102600,103100,103400,103800,104500,105000,105600,106400,107200,108000,108700,109600,110400,111300,112100,112600,113000,113600,114300,114800,115300,115800,116400,117100,117700,118200,118700,118900,119200,119600,120000,120300,120400,120600,120900,121000,121100,121100,120800,120500,120200,120000,119800,119700,119600,119400,119200,118800,118300,117800,117800,118600,119400,119700,119600,119400,119300,119100,119100,119000,118900,118800,119200,119600,119800,119500,119300,119100,119000,118700,118500,118300,118200,117900,117600,117100,116700,116500,116200,116200,116200,116100,115800,115400,115300,115500,115500,115300,115000,114800,114900,115200,115400,115700,116000,116300,116400,116700,116800,117000,117300,117600,117800,118000,118200,118300,118600,118900,119200,119300,119600,119800,120100,120600,121300,121700,122100,122400,122500,122600,122700,122800,122800,123000,123300,123700,124100,124500,124900,125400,125800,126600,127500,128300,128700,129000,129300,129900,130500,131200,131700,132400,133200,134400,135500,136700,137800
32,"Missouri",18,80700,81400,82000,82600,83300,83700,83700,83600,84200,85500,86700,87600,88000,88200,88900,89500,90000,90400,91000,91300,91700,92100,92600,93200,93600,94100,94300,94400,94600,94700,94800,95400,96100,96700,97500,98200,98600,99100,100000,101200,102200,102600,102800,103000,103800,104900,105800,106700,107500,108000,108600,109700,110700,111200,111800,112800,113600,114100,114800,115600,116200,117000,117900,118300,118300,118800,119600,120400,121000,121600,122200,122700,123400,124200,124700,124700,125100,126300,127800,128300,127800,127900,128900,130000,130800,131600,132100,132800,133800,134700,135600,136800,137700,137500,136500,135900,135700,136000,136500,137100,137700,138300,138800,139400,140300,141600,142600,143500,144200,144300,144300,144800,145300,145500,145600,145900,146800,147800,148500,148600,148900,149400,150000,150400,150900,151300,151700,151800,151700,151600,151500,151900,152600,153200,152900,152400,151800,151100,150000,149000,148500,148400,148400,148100,147800,147700,147500,147000,146400,146100,146000,145700,145600,145600,145500,144900,144100,143200,142500,142000,141700,141500,141500,141800,140500,138000,136400,136200,135800,135400,135000,134500,133800,132800,131800,130900,130600,130500,130200,129600,128800,128000,127500,126900,126400,125700,124800,123800,123200,122700,122300,122100,121900,121400,121200,121300,121400,121300,121400,121700,122000,122400,122600,122600,122500,122600,122900,123100,123200,123500,123700,123800,124000,124300,124600,124800,124900,125000,125200,125300,125500,125800,126100,126400,126900,127400,127600,127800,128000,128000,128300,128700,129000,129400,130000,130400,130800,131400,132100,132800,133600,134500,135200,135900,136700,137400,138100,138800,139400
27,"Maryland",19,127000,126900,126600,126400,126200,126100,126100,126200,126400,126700,127100,127300,127200,127300,127300,127200,127100,127000,127100,127100,127200,127600,128200,128700,128900,128900,128900,128800,128900,129200,129400,129700,129900,130300,130800,131300,131900,132200,132400,132800,133400,134000,134400,134800,135400,136300,137000,137700,138300,139000,139700,140400,141000,141300,141900,142600,143500,144500,145600,146500,147700,148800,149900,150800,151700,152800,154100,155300,156400,157600,159000,160600,162100,163500,165200,167100,169100,170800,172600,174800,177200,179300,181200,183300,185300,187400,189600,191900,194300,196900,199500,202100,204800,207700,210700,213600,216800,220500,224700,229100,233500,238200,242800,247200,251700,256400,260900,265400,270100,275200,280400,285200,290200,295300,300000,304000,307100,309600,312100,314800,317000,318700,320100,321600,322400,322400,322400,322700,322700,322500,322500,322800,323100,322900,322000,320600,318800,316800,314900,313000,310300,307000,303900,301100,298300,295100,291500,288300,285500,282600,279900,277100,274000,271200,269100,266900,264700,262600,260100,257500,255500,254200,253000,251700,252300,253800,253800,252200,251300,250200,249000,247600,246100,244700,243300,241700,240000,238400,236700,234900,232900,231400,230300,229400,228600,227500,226100,225300,224600,223900,223600,223700,223500,223800,224600,225700,226700,227800,229000,230000,230800,231700,233000,234100,234900,235600,236400,237200,238000,238700,239100,239700,240300,240600,240900,241800,243000,244300,245800,247100,247900,248000,248100,248600,248600,248200,248400,249300,250000,250600,251500,252700,253700,254200,254600,255300,256100,256300,256400,257100,258700,260100,260700,261000,261800,263300,265300,267100,268300
60,"Wisconsin",20,,,,,,,,,,,,,,,,,99000,99700,100900,102200,102700,102700,102700,102800,103000,103700,104600,105400,105900,106300,106800,107300,107600,108000,108300,109200,110600,111800,112400,112900,113000,112900,113000,113300,113400,113600,114100,114900,115500,115900,115900,116000,116900,118200,119000,119600,120200,120700,121300,122200,123000,123700,124000,124100,124700,125300,125300,125500,126200,126800,127500,127700,127700,127900,128700,129800,130700,131100,131900,132600,133100,133600,134300,135000,135800,136700,137500,138100,138500,138900,139400,140200,140500,140400,140200,140600,141000,141500,142200,143200,143900,144500,145200,146100,147000,147800,148300,148700,149300,150200,151300,152300,153400,154400,154900,155100,155500,156100,156800,157300,157200,156900,156600,156300,156100,156300,156700,156900,157000,157300,157300,157700,158700,159400,159000,158700,158600,158200,157900,157800,157900,157900,157800,157600,157300,156900,156600,156100,155600,155000,154600,154100,154400,155600,156600,156500,156100,155700,155800,156000,156000,155900,155900,155900,154300,151800,150500,150500,150000,149600,149200,148800,148400,147900,147500,147200,146900,146500,146100,145400,144800,144400,144000,143500,143100,142900,142500,142200,142300,142300,141800,141500,141400,141400,141200,141200,141200,141100,141000,141000,141200,141600,141800,141900,142100,142500,143000,143300,143500,143700,144000,144000,144100,144100,144100,144300,144700,144900,145000,145300,145700,145900,146000,146200,146600,147300,147800,148100,148500,148900,149300,149800,150200,150800,151300,151700,152000,152700,153500,153900,154400,155200,156000,156500,157400,158400,159100,159900,160700
31,"Minnesota",21,95700,96200,96200,96200,96200,96200,96200,96300,96600,97300,98200,98900,99400,99900,100200,100600,100900,101400,101900,102500,103200,103900,104900,105800,106400,106700,107100,107500,108300,109000,109700,110500,111600,112500,113600,114800,115700,116500,117700,119200,120600,121800,123000,124300,125500,126600,127500,128500,129800,131100,132500,133900,135300,136800,138300,139400,140600,142100,143400,144800,146500,148100,149500,150700,151800,153100,154200,155100,156200,157400,158400,159300,160300,161600,163000,164400,165800,167200,168500,169700,170600,171600,173100,174600,175800,177000,178100,179100,180100,181100,182200,183300,184400,185500,186400,187100,188000,189100,190500,192100,193500,194500,195600,196900,198300,199400,200600,201900,203100,204000,204700,205600,206300,207000,207800,208500,208900,209300,209700,210100,210600,210800,210500,210000,209500,209200,209200,209000,208800,208600,208300,207700,207000,206200,205100,204000,203100,202500,201700,200700,199700,198500,197000,195300,193400,191600,189900,188400,187100,185500,183700,182100,181600,182400,183000,182300,181400,180500,179600,178500,177600,176900,176400,176000,173800,170100,167400,166900,166600,166200,165900,165300,164200,162700,161400,160400,159900,159400,158300,156400,154600,153500,152800,152000,151300,150600,150100,149200,148500,148200,148500,149200,150300,151000,151500,152300,153500,154700,155800,156700,157700,158900,160200,161400,162300,163100,164100,165200,166200,166900,167700,168700,169800,170600,171100,171800,172400,173000,173500,174200,174800,175400,175700,176100,176800,177600,178200,178700,179200,180000,180800,181600,182300,183200,184400,185400,186500,187700,188700,189600,190800,192000,193100,194100,195400,196800,198000,199400,200700
10,"Colorado",22,128100,128400,128700,128900,129300,129800,130300,130800,131200,131800,132600,133200,133600,134000,134600,135200,135800,136400,137200,137900,138700,139700,140500,141000,141500,141800,142200,142800,143400,144000,144600,145400,146400,147600,148900,150400,152000,153600,155100,156700,158200,159500,160900,162500,163900,165200,166900,168500,170000,171900,173600,175000,176600,178300,180000,181600,183200,184800,186500,188200,189700,191100,192400,193600,194800,195800,196400,197000,197800,198300,198600,199100,199900,200700,201300,202100,202900,203500,203900,204400,204900,205400,205900,206100,206200,206300,206500,206600,206900,207400,208200,208800,209300,209900,210400,210900,211400,211800,212200,212600,212900,213400,214000,214700,215300,216200,217200,218200,218800,219200,219600,220200,220800,221500,222000,222700,223200,223700,224100,224500,225000,225400,225600,225900,226100,226200,226300,226700,226900,226700,226400,226600,226700,226900,227300,227600,227500,227500,227400,227200,226200,224500,223000,222200,221600,221300,221200,221000,220800,220000,218900,217700,216400,215200,214400,213800,213000,212300,211700,211200,210900,211000,211100,210700,212500,215900,217800,217200,216900,216000,215000,214300,213800,213300,212900,212500,211800,210700,210000,209700,209200,208700,208300,207800,207200,207000,206900,206700,206800,207200,207600,208200,209300,210800,212000,212800,213800,215100,216300,217500,218600,219500,220600,222100,223600,225500,227500,229300,230600,231700,232900,234300,235300,236200,237500,239200,240600,242200,244000,245900,247900,249900,252000,254600,257100,259300,262000,264900,267900,270800,273900,277000,279900,282700,285600,288400,291100,293400,295700,298200,300900,303100,305200,307600,310200,313200,316000,318700,321000
4,"Alabama",23,79500,79200,79500,79700,79700,79700,80100,80600,80800,80700,80900,81300,81300,80900,80900,81100,81400,81700,81800,81900,82400,82900,83400,84000,84500,84700,84800,85100,85500,85700,85900,86200,86700,87000,87500,88000,88700,89400,90000,90200,90300,90400,90600,90800,90800,90900,91000,90900,91200,91700,92000,92200,92600,92800,92600,92600,92800,93000,93100,93400,93800,94300,94700,94700,94600,94800,95100,95500,96000,96600,96900,96800,96500,96400,96700,97000,97000,97000,97200,97400,97500,97900,98700,99200,99300,99200,98900,99100,99800,100700,101400,101900,102200,102300,102200,102300,102900,103800,104800,105800,106800,107900,108800,109700,110500,111400,112100,113600,115500,116800,117200,117800,118500,119100,119700,120600,121700,122900,123900,124300,124600,125000,125500,125900,126100,126200,126300,126500,127000,127600,128000,127900,127800,127900,128300,128700,129200,129500,129500,129200,129000,128700,128400,127900,127800,127800,128500,129000,128700,128000,127700,127200,127800,130000,132300,133400,133900,134000,133700,133100,132400,132100,132300,133200,130300,124900,121500,121200,120500,119800,119100,118600,118200,117800,117400,117000,117200,117800,117800,117200,117000,116800,116400,115900,116400,117500,117900,117300,117100,117600,117800,117500,117500,117500,117400,117200,117100,116600,116200,116000,116200,116300,116500,116500,116400,116400,116500,116500,116500,116500,116400,116700,117300,117900,118100,118000,117800,117700,117600,117800,117800,117600,117700,118000,118300,118700,119000,119100,119300,119500,119700,120100,120300,120500,120600,120500,120800,121500,121800,121800,122000,122100,122200,122300,122400,122500,122700,123200,123600
51,"South Carolina",24,80000,80000,80100,80000,79800,79700,79800,80100,80400,80900,81200,81400,81800,82000,82200,82700,83500,83900,84000,84300,84600,84900,85300,85800,86100,86400,86700,87300,88000,88600,89100,89500,89800,90200,90900,91500,92100,92600,92900,93400,94000,94300,94600,95100,95600,96200,96800,97200,97800,98700,99300,99700,99900,100200,100700,101100,101500,101600,101600,101800,102000,102300,102500,102700,102900,103600,104100,104300,104500,104800,105000,105300,105600,105900,106300,106500,106600,106900,107500,108000,108100,108400,108800,109300,109500,109900,110300,110900,111300,111500,111700,112100,112600,112900,113300,113900,114600,115200,115700,116400,117100,117800,118400,119200,120300,121400,122300,123100,124000,124900,125700,126400,127200,128100,129100,130100,131000,131600,132200,132800,133300,133800,134300,135000,135800,136400,136900,137400,137800,138000,137900,137700,137500,137600,137500,137200,137000,136800,136300,135700,134900,134100,133600,133200,132900,132400,132100,131800,131400,130900,130600,130100,130400,131900,133600,134300,134500,134500,134400,134100,133800,133500,133200,133000,132400,131300,130300,129800,129300,129000,128800,128500,128100,127800,127400,127000,126500,126100,125700,125100,124700,124200,123500,122900,122600,122300,122200,122000,122100,122100,121500,120700,120600,120900,121100,120700,120600,120900,121200,121200,121400,121900,122000,122000,122300,122700,122900,122800,122700,123000,123600,123800,124200,124900,125100,124600,124600,125100,125400,125300,125500,125800,126200,127000,126100,124000,122800,123100,123800,124600,124600,126800,128800,128000,126700,127700,128500,128800,130900,134800,135000,133500,135300,137600,137800,139000,140300,141000,141600
24,"Kentucky",25,74300,75100,76200,77300,78300,79000,79500,79700,79900,80100,80400,80400,80300,80400,80700,80900,81100,81400,81800,82400,82800,83400,84100,84700,85100,85400,85700,86100,86500,86900,87100,87300,87500,88000,88600,89000,89400,89700,89900,90100,90300,90500,90800,91100,91400,91900,92500,93000,93400,93800,94000,94200,94700,95000,95200,95400,95900,96300,96500,96900,97400,97900,98400,98900,99300,99400,99500,99600,99900,100400,100800,101000,101200,101500,101800,102100,102300,102500,102900,103400,103700,103900,104000,104100,104300,104600,104900,105000,105100,105500,105800,106200,106800,107400,107900,108500,109100,109500,109800,110200,110800,111200,111800,112300,112600,112800,113100,113200,113300,113700,114000,114100,114400,114800,115100,115300,115400,115400,115200,115200,115500,115700,115800,115900,115900,116100,116200,116300,116500,116500,116500,116300,116000,115900,116000,116100,116000,115800,115800,116000,116100,115900,115600,115700,116000,116200,116100,116000,116000,116300,116400,116000,116100,117500,119300,120200,120400,120400,120400,120700,121200,121600,121600,121600,120700,119300,118300,118300,118200,118200,118000,117800,117400,117100,117000,117200,117500,117500,117200,117000,116700,116500,116600,116800,116900,116700,116500,116500,116800,116900,116900,116800,116900,116800,116800,117000,117100,117000,117100,117100,117300,117300,117400,117500,117600,117700,117900,118100,118000,117900,118000,118000,118100,118400,118700,118600,118700,119000,119500,119600,119500,119600,119800,120100,120500,120900,121100,121300,121800,122200,122300,122500,123000,123600,124000,124400,125000,125600,126100,126600,127100,127700,128300,128900,129600,130500,131400,132100,132500
46,"Oregon",26,124500,125200,125700,126200,126900,127600,128200,129000,129700,130300,131000,131500,132000,132400,132900,133500,134000,134700,135400,136200,137000,137900,138500,139100,139500,139800,139800,139900,140300,140700,140800,141100,141500,141600,142000,142600,143000,143100,143500,144000,144200,144400,144700,145100,145200,145500,146100,146700,147100,147600,148300,148800,149100,149200,149200,149500,149900,150700,151500,152200,152600,153000,153400,153700,153900,154300,154700,155100,155700,156500,157200,158000,158700,159200,159700,160300,161000,161800,162500,163200,164100,165100,166000,166600,167400,168300,169100,170000,170800,171800,173200,174500,175800,176900,177900,179000,180400,182000,183600,185400,187300,189300,191400,193600,195600,197600,200000,202500,205200,208400,212100,215900,220000,224300,228300,232100,235700,238900,241900,245000,248200,251000,253400,255700,257800,259300,260200,261100,262100,262900,263800,264800,265400,265600,265600,265300,264600,263800,262800,261700,260400,259000,257500,256000,254400,252700,251200,249600,248000,246000,243800,241000,239300,238900,238400,236600,234700,232800,230900,229000,227600,226500,225500,225000,223900,221900,219900,218600,217500,216000,213900,211600,209500,207700,206500,205800,204900,203600,202200,200600,198600,197000,196000,195300,194500,193800,193300,193000,192700,192200,192000,192400,193000,193600,194100,194800,195800,196800,197800,198600,199000,199900,201600,203800,206100,208600,211300,213800,215900,217400,218400,219700,221600,223500,224900,225800,226800,228000,229100,230200,231400,232800,234100,235300,236600,238100,239500,241000,243000,245600,248300,250800,253500,256300,259000,261500,264200,266800,269500,272200,275000,277800,281000,284000,286900,289800,292600,295200,297200
